,大概广电局也不知道该从哪里剪
,大爷的，智商有限，电影大体逻辑看懂了，但是大神们都说的各种高深内涵，没有体会到。
,现实并不存在，只是我们身陷其中。
,作为诺兰神话的最高点，显然还是经得住重看的，最方便的检验方式，就是意识深处那个旋转不停的陀螺。诺兰所有最受推崇的作品，无一不是在建设精密的结构，实践操纵时间的叙事法，但它的复杂程度（四层递归，逐层回退）绝不超出观众的理解能力。而这种由形式构筑起的紧张感，在持续补足他所不那么擅长的情感描绘与动作场面。十年后，在现实与梦境的辩证法之外，我才经由小李子紧锁的眉头，真正注意到这个“长相厮守”的爱情困境，是它驱动着电影最核心的危机。——并不是恐婚心理在作怪，而是追求永恒的美好愿望让人们滑向深渊。
,比较烦诺兰
,"NB
"
,不甚喜欢
,如果此片不给5星· 我不知道还能给什么片5星。。所以好好看吧！
,怎么说呢，超爱这种逻辑性的东西！
,几层梦境？忘记了，有空再看看
,不是我的菜
,既有科学又有不科学的地方。
,四星半。没有传说中那么难懂嘛
,nolan再这样下去在影史上成就会非常有限的
,我的大脑从没有这么混乱过，事物的本质是什么，知道你愿意相信，梦就是现实
,滥用精神分析术语。。。看来精神分析在娱乐界已经和量子物理差不多地位了。。。
,当年热播的时候没看，今天顺便看了一场，明明逻辑这么清楚个片儿居然有人看不懂？
